,custom_distance,artist,song_name,preview,type,id
1420,0.48625959899685905,Amanda Seyfried,I Have A Dream - From 'Mamma Mia!' Original Motion Picture Soundtrack,,,77bIDfQElFrLQjp2ZdTaam
1421,0.48624559271588536,Ed Sheeran,Photograph,https://p.scdn.co/mp3-preview/097c7b735ceb410943cbd507a6e1dfda272fd8a8?cid=99f699c35c2d4667917d680d9134d27e,decades,6fxVffaTuwjgEk5h9QyRjy
1422,0.4862216385526111,Los Ángeles Azules,Por El Amor A Mi Madre,,,1yUJiZMgB0dDBET4al9Bmn
1423,0.4862185962576518,ILLENIUM,Lonely (with Chandler Leighton),,pop,2tPzQueGEjxjmBvJrYe02u
1424,0.48621686423825533,Two Feet,Love Is a Bitch,,,6MiVIH3fQlmz44jGx2DXn4
1425,0.4862063091926861,Whitney Houston,You Give Good Love,,,0t6DdFmFQhQYWhmfa5FJer
1426,0.48619833995245426,Wild Rivers,Wandering Child,,,11djRRW01tNhSCXo1M4Nh8
1427,0.486197963697874,Nina Simone,Don't Let Me Be Misunderstood,,,7M9pPyt8Gr41THLhbz4NSB
1428,0.4861914422048606,Dean Martin,Sway (Quien Sera),,,4nbILrYODP667b3d66ZMzI
1429,0.4861789732085889,The National,I Need My Girl,https://p.scdn.co/mp3-preview/08125363e5f2ac57bfb904a353cdbe959b6a854b?cid=99f699c35c2d4667917d680d9134d27e,decades,7rbCL7W893Zonbfnevku5s
1430,0.48610408554406587,dodie,She,,,45h4w81P5iJJTSeR0jJUQ8
1431,0.4860891545462054,Amy Winehouse,"Valerie - Live At BBC Radio 1 Live Lounge, London / 2007",,,6CQaVuICm1WVXyy3SZ5jEI
1432,0.4860263567621135,The Modern Jazz Quartet,Softly As In A Morning Sunrise,,,4vWMrM0AwlhRlkAdQtC2zn
1433,0.4860054728094778,"88rising, Rich Brian",History,,,4TwVtW8hS5LyLoDtJGpUOg
1434,0.48599104340969973,"John Mayer, Katy Perry",Who You Love (feat. Katy Perry),,,7IByJvSqRFltGyiiIiL4wn
1435,0.4859514902395692,Bon Iver,"Hey, Ma",https://p.scdn.co/mp3-preview/625ef5d640863ea2570bf591bb30b482ff83b1aa?cid=99f699c35c2d4667917d680d9134d27e,decades,0d6bZwEAi1XblGRhnzPfgC
1436,0.4859250069039291,Asha Bhosle,Sakhyano Karu Det Shrungar,,,1NwRHLhqH2wlM3RUh3NpWd
1437,0.48590703030195975,Ruth B.,Lost Boy,,,4h0zU3O9R5xzuTmNO7dNDU
1438,0.48590616396656633,Billie Eilish,bury a friend,,,4SSnFejRGlZikf02HLewEF
1439,0.48589984432073535,Bebe Rexha,Last Hurrah - Acoustic,https://p.scdn.co/mp3-preview/b581878c06b569d08f54fa8e726cc19db785385f?cid=99f699c35c2d4667917d680d9134d27e,pop,7eoKwUoGIQSQLusZiQIvmm
1440,0.4858285599222683,Jazmine Sullivan,Bodies - Intro,,,2Itnx6zp6Ztkex5JnRcy3U
1441,0.48576695347314236,Juke Ross,Fresh Roses,,pop,05RmevbSKDvHHKpYBoXYfR
1442,0.48573716861314514,Buddy Holly,Everyday,,,39lnzOIUCSNaQmgBHoz7rt
1443,0.4857322046776877,Simon & Garfunkel,Bridge Over Troubled Water,https://p.scdn.co/mp3-preview/235629aa4e2ef4c3c8cc623b348b646d31c26412?cid=99f699c35c2d4667917d680d9134d27e,decades,6l8EbYRtQMgKOyc1gcDHF9
1444,0.4857059221078961,"Tinlicker, Helsloot",Because You Move Me,,,05GvwwTLLID738BbKN1ze0
1445,0.4856953762455885,Sade,Love Is Stronger Than Pride,,,5Qrcxc2YPomtX6UB0bwNaf
1446,0.48569005665138015,Jasmine Thompson,You Are My Sunshine,,,5qMjtrGnezsafpH4oqg7oU
1447,0.4856758291957379,Tommy Torres,Perderme en ti,https://p.scdn.co/mp3-preview/ba695d164f5ca9273b6f868df26ceeb1536f6559?cid=99f699c35c2d4667917d680d9134d27e,romance,4Iak0UOzYRjHNMMxMajkz3
